category,seniority,min_salary,max_salary,id,modality,remote,remote_modality,remote_zone,published_at,application_deadline,experience,skills,benefits,applications_count,company_name,company_country,company_id,company_description
Data Science / Analytics,seniority,1000,1300,data-analyst-junior-kibernum-santiago,modality,False,hybrid,,1709138192,,,"p, necesitas, para, aplicar, p, ul, li, Experiencia, de, 1, en, de, datos, li, li, Dominio, intermedio, de, SQL, imprescindible, li, li, Experiencia, en, Python, y, Power, BI, li, li, Haber, trabajado, en, equipos, multidisciplinarios, es, deseable, li, ul","<ul><li><strong>Tipo de Contrato</strong>: Plazo Fijo (con posibilidad de indefinido después de evaluación).</li><li><strong>Jornada Laboral</strong>: Lunes a Viernes.</li><li><strong>Horario</strong>: 08:30 - 18:30.</li><li><strong>Ubicación</strong>: Agustinas , Santiago, Región Metropolitana (Híbrido).</li></ul>",377,Kibernum,CL,,Impulsamos la evolución digital de nuestro entorno
Data Science / Analytics,seniority,,,specialist-consultant-kibernum-bogota,modality,False,hybrid,,1709105669,,,"p, Experiencia, laboral, preferiblemente, desarrollando, proyectos, de, inteligencia, de, negocios, de, procesos, y, o, e, de, herramientas, br, con, en, alguna, de, las, dos, Azure, Administrator, Associate, certification, O, br, Azure, Solutions, Architect, Expert, certificatio, br, ingles, avanzado, p",<p>Modalidad de trabajo: Bogotá (Alternancia)<br>• Tipo de Contrato: Indefinido<br>• Horario: Lunes a Viernes (Horario de Oficina)<br>• Salario: a convenir</p>,12,Kibernum,CL,,Impulsamos la evolución digital de nuestro entorno
Data Science / Analytics,seniority,2400,3300,python-automation-engineer-moventi-remote,modality,True,fully_remote,,1709071235,,,"div, Las, habilidades, requeridas, br, 4, de, experiencia, con, Python, br, Gran, capacidad, de, analisis, br, Buen, nivel, de, SQL, br, Excelente, dominio, de, Python, para, la, parte, de, br, El, es, obligatorio, ya, que, el, equipo, es, internacional, br, Las, funciones, que, se, esperan, del, empleado, son, entender, el, negocio, y, tener, grandes, habilidades, como, experiencia, en, pruebas, se, espera, que, forme, a, otros, dentro, del, equipo, en, la, con, Python, div",,544,Moventi,PE,,Technology is dramatically changing the world we live in. Our focus is to help organizations lead the way using technology with an innovation mindset.
Data Science / Analytics,seniority,,,data-analyst-kibernum-santiago-valparaiso-vina-del-mar,modality,True,remote_local,,1708983331,,,"div, strong, requerimos, de, ti, para, hacer, un, buen, match, strong, div, p, Profesionales, de, carreras, como, en, Civil, o, carrera, br, Experiencia, formalmente, como, Data, Analyst, entre, 1, y, 2, br, conocimientos, y, manejo, en, SQL, Nivel, avanzado, br, conocimientos, y, manejo, en, Python, Medio, Avanzado, br, Manejo, en, cloud, AWS, br, Manejo, en, de, datos, en, Power, BI, br, Manejo, en, desarrollo, de, Data, Pipelines, utilizando, PySpark, AWS, Glue, y, S3, br, Manejo, en, de, procesos, ETL, con, ETL, AWS, Lambda, y, Step, Functions, p","<div><strong>Algunos de Nuestros Beneficios</strong>❤️</div><div>1. Contamos con seguro de vida, salud y dental. 💛</div><div>2. Reajuste periódico en tu remuneración .💲</div><div>3.Días de permiso por nacimiento de hijos.</div><div>4. Si te gusta constantemente seguir aprendiendo y perfeccionando tus conocimientos tenemos planes de capacitaciones.😏</div><div>5.Convenios cursos de inglés (dsctos que van de un 70% a un 85% según el curso y modalidad elegida).</div><div>6. Convenios preferenciales con Gimnasios.</div><div>7.Atractivos descuentos con diferentes marcas y/o productos (ópticas, telefonía, florerías, chocolaterías, etc).</div><div>8.Días de permiso por contraer matrimonio o unión libre.</div><div>9.Servicio de radio taxi.</div><div>10. Bonos por fiestas patrias, navidad y más!!</div><div><strong>!Conversemos y entérate de los otros beneficios!</strong>🥳</div>",348,Kibernum,CL,,Impulsamos la evolución digital de nuestro entorno
Data Science / Analytics,seniority,,,analista-financiero-match-agencia-consultora-santiago,modality,False,hybrid,,1708704095,,,"p, strong, Requisitos, strong, p, ul, li, Debe, contar, con, Profesional, de, Ingeniero, Comercial, o, Civil, I, li, li, dos, de, experiencia, en, de, datos, en, el, de, finanzas, li, li, Dominio, avanzado, de, Excel, excluyente, para, realizar, complejos, y, manipular, diversos, conjuntos, de, datos, provenientes, de, distintas, fuentes, li, li, Conocimientos, de, Power, BI, excluyente, para, crear, visualizaciones, interactivas, y, proporcionar, valiosa, a, los, tomadores, de, decisiones, li, li, Excelentes, habilidades, y, de, de, problemas, li, li, habilidades, de, oral, y, escrita, li, li, Capacidad, para, trabajar, de, forma, independiente, y, como, parte, de, un, equipo, li, li, Fuertes, habilidades, y, capacidad, para, trabajar, con, grandes, cantidades, de, datos, li, li, Conocimiento, profundo, de, los, principios, contables, y, financieros, li, li, Excelentes, habilidades, de, y, capacidad, para, presentar, compleja, de, manera, clara, y, concisa, li, li, a, resultados, y, capacidad, para, tomar, decisiones, basadas, en, datos, li, li, Habilidad, para, trabajar, bajo, y, en, un, entorno, cambiante, li, li, Capacidad, para, trabajar, en, equipo, y, colaborar, con, otros, departamentos, li, ul","<ul><li>Un equipo colaborativo, con foco en trabajar en equipo</li><li>Capacitaciones al cumplir al menos seis meses en este Team ‍</li><li>Computador, acorde a tus tareas</li><li>Espacio para charlas/talleres internos ️</li><li>Tarde libre de cumpleaños</li></ul>",83,MATCH · Agencia-consultora,CL,,"Somos una consultora- agencia, que cuenta con un equipo multidisciplinario enfocado en descubrir e implementar soluciones efectivas en proyectos integrales."
Data Science / Analytics,seniority,,,analista-de-informacion-bpo-bogota-kibernum-bogota,modality,False,no_remote,,1707846704,,,"p, o, profesional, en, carreras, afines, a, sistemas, p, ul, li, Experiencia, de, 2, en, empresas, del, sector, BPO, li, li, Destreza, en, de, cuentas, manejo, de, bases, de, datos, y, Excel, avanzado, li, ul",<p>Modalidad de trabajo: presencial en Bogotá.</p><ul><li>Horario: Lunes a viernes con disponibilidad para algunos sábados.</li><li>Contrato a término indefinido (directo con la empresa).</li></ul>,36,Kibernum,CL,,Impulsamos la evolución digital de nuestro entorno
Data Science / Analytics,seniority,,,consultor-etl-chile-orbis-data-remote,modality,False,hybrid,,1707427063,,,"div, Buscamos, un, profesional, o, de, Sistemas, o, carreras, afines, con, conocimiento, y, experiencia, en, ETL, br, ETL, DataStage, obligatorio, br, PowerCenter, deseable, br, Modelamiento, de, datos, dimensional, y, para, Datamart, y, Data, Warehouse, br, y, de, y, Carga, de, Datos, br, Manejo, de, SQL, div",,38,Orbis Data,CL,,"Asesoramos a nuestros clientes en su proyección hacia el futuro, buscando el enfoque diferente que los ayude a mejorar y alcanzar sus objetivos.  
"
Data Science / Analytics,seniority,,,data-engineer-leniolabs_-remote-2a40,modality,True,remote_local,,1707244585,,,"ul, li, de, 4, de, experiencia, como, Ingeniero, de, Datos, li, li, conocimientos, de, SQL, y, principios, de, data, transformation, li, li, Experiencia, en, Databricks, indispensable, li, li, del, procesamiento, de, datos, en, tiempo, real, batch, data, processing, y, construir, ambos, tipos, de, sistemas, li, li, Experiencia, con, las, siguientes, bases, de, datos, PostgreSQL, DynamoDB, Microsoft, SQL, Server, li, li, Capacidad, para, realizar, tareas, resolver, problemas, y, administrar, el, tiempo, de, manera, eficiente, li, li, Orientado, al, trabajo, en, equipo, y, gran, a, los, detalles, li, li, intermedio, avanzado, o, avanzado, indispensable, li, ul",<ul><li>Salario dolarizado (Argentina).</li><li>100% Remoto.</li><li>Posibilidad de recibir 2 bonos al año.</li><li>2 revisiones salariales al año.</li><li>Clases de inglés.</li><li>Equipamiento Apple.</li><li>Cursos UDEMY.</li><li>Budget para compra de libros.</li><li>Budget para compra de materiales de trabajo.</li></ul>,172,Leniolabs_,CL,,"Somos una empresa de desarrollo de software con sede en Argentina, Chile, España y USA."
Data Science / Analytics,seniority,,,data-scientist-leniolabs_-remote-69e6,modality,True,remote_local,,1707142932,,,"ul, li, Acreditar, un, nivel, de, intermedio, avanzado, B2, C1, li, li, 4, de, experiencia, como, Data, Scientist, li, li, Se, requiere, un, de, experiencia, de, 4, con, Python, y, o, R, Excluyente, li, li, Experiencia, en, Data, Warehousing, Manejo, en, Big, query, Excluyente, li, li, Manejo, de, GIT, Gitlab, Github, Excluyente, li, li, Manejo, de, API, s, Excluyente, li, ul",<ul><li>Salario dolarizado (Argentina).</li><li>100% Remoto.</li><li>Posibilidad de recibir 2 bonos al año.</li><li>2 revisiones salariales al año.</li><li>Clases de inglés.</li><li>Equipamiento Apple.</li><li>Cursos UDEMY.</li><li>Budget para compra de libros.</li><li>Budget para compra de materiales de trabajo.</li></ul>,228,Leniolabs_,CL,,"Somos una empresa de desarrollo de software con sede en Argentina, Chile, España y USA."
Data Science / Analytics,seniority,,,analista-gestion-tecnologia-y-datos-agrosuper-rancagua,modality,False,hybrid,,1706648383,,,"p, Como, Analista, en, de, y, Datos, debes, tener, experiencia, de, 0, a, 2, en, de, proyectos, o, practica, profesional, en, el, de, proyectos, Ser, titulado, de, las, carreras, de, Civil, Industrial, Comercial, o, Junto, a, lo, anterior, debes, tener, disponibilidad, para, trabajar, en, Rancagua, p",<p>Te mostramos algunos de nuestros beneficios</p><p>Planes de crecimiento y desarrollo.<br>Capacitaciones y becas de estudios.<br>Convenios con distintas instituciones.<br>Bonos asociados al desempeño.</p>,217,Agrosuper,CL,,"En Agrosuper nos motiva hacer las cosas siempre mejor, con espíritu de crecimiento y desarrollo, disfrutando lo bueno de la vida  ¡Ven a ser parte!"
Data Science / Analytics,seniority,,,ingeniero-de-datos-kibernum-santiago-14bc,modality,False,hybrid,,1706271045,,,"ul, li, en, Python, pyspark, li, li, Plataforma, Google, Cloud, Platform, GCP, li, li, SQL, y, estructuras, de, datos, li, li, Experiencia, con, Tableau, u, otras, herramientas, de, de, datos, li, li, de, datos, li, li, Manejo, de, altos, de, datos, li, ul","<ul><li>Jornada laboral de lunes a viernes hibrido </li><li>Seguros complementarios de Salud, dental y vida </li></ul>",94,Kibernum,CL,,Impulsamos la evolución digital de nuestro entorno
Data Science / Analytics,seniority,,,analista-de-base-de-datos-kibernum-bogota,modality,False,no_remote,,1706116008,,,"p, Experiencia, de, un, 1, en, desarrollo, en, SQL, MySQL, T-SQL, monitoreo, y, servidores, Windows, y, Linux, de, base, de, datos, Si, eres, un, apasionado, de, la, y, posees, experiencia, en, SQL, MySQL, y, T-SQL, te, queremos, en, nuestro, equipo, p","<ul><li>Contrato Definido.</li><li>Horarios: Lunes a viernes, de 7:00 AM a 5:00 PM.</li><li>Modalidad Presencial en Bogotá.</li></ul>",122,Kibernum,CL,,Impulsamos la evolución digital de nuestro entorno
Data Science / Analytics,seniority,,,analista-de-datos-junior-kibernum-santiago,modality,False,hybrid,,1705592739,,,"ul, li, Experiencia, de, 1, como, Analista, de, Datos, li, li, Competencia, en, Power, BI, SQL, y, Python, li, li, Habilidades, avanzadas, en, Excel, y, Power, Point, li, li, Capacidad, para, comprender, y, satisfacer, las, necesidades, de, los, clientes, li, li, Fuertes, habilidades, y, de, de, problemas, li, li, Capacidad, para, trabajar, de, manera, y, en, equipo, li, ul","<ul><li>Modalidad Hibrida</li><li>Reajuste salarial por IPC trimestral</li><li>seguro de salud anual por UF 500 y un seguro de vida por UF 500 anual.</li><li>Además, te cubrimos en casos catastróficos con UF 700.</li><li>Aguinaldos en UF en Fiestas Patrias y Navidad</li></ul>",266,Kibernum,CL,,Impulsamos la evolución digital de nuestro entorno
Data Science / Analytics,seniority,,,consultor-de-data-havas-chile-santiago,modality,False,hybrid,,1705561510,,,"p, em, em, p, ul, li, Ingenieria, Comercial, Civil, industrial, o, Marketing, li, li, li, ul, p, em, Experiencia, previa, em, p, ul, li, Al, menos, 4, de, experiencia, en, el, area, de, datos, o, comercial, trabajando, con, modelos, de, li, li, Conocimiento, y, experiencia, con, Google, Analytics, li, li, Experiencia, trabajando, con, Modelos, de, Marketing, Mix, Modeling, li, ul","<p>🏥Seguro complementario de vida y salud (medico general, dental y catastrófico)</p><p>🏡Trabajo en formato mixto flexible (dos días presencial, tres desde casa)</p><p>📍Oficinas ubicadas en Providencia</p><p>🌞Los viernes trabajamos hasta las 14:00 :)</p><p>📓Plataforma Havas University para que no dejes de aprender!</p><p>🧗‍♀️Plan de calidad de vida (masajes, charlas, grupo de trekking)</p><p>🏖Días extras libres (vacaciones, cumpleaños, mudanza, unión civil/matrimonio)</p><p>🏋️‍♂️Convenio Smarfit</p><p>💰Convenios con Bancos</p><p>🕶Caja de Compensación Los Andes</p>",48,Havas Chile,CL,,"Havas Group es el holding de comunicación internacional con el mayor crecimiento en los últimos diez años, y el grupo más ágil e integrado de la industria."
Data Science / Analytics,seniority,,,ingeniero-analitica-y-bi-agrosuper-rancagua-acf9,modality,False,hybrid,,1705441835,,,"p, Como, Ingeniero, de, y, BI, debes, tener, experiencia, o, conocimientos, en, el, rubro, digital, o, debes, tener, conocimientos, transversales, a, las, distintas, herramientas, ocupadas, en, nuestra, para, el, y, como, Excel, Synapse, SQL, PBI, Databricks, R, Python, para, poder, mostrar, e, identificar, las, correctas, soluciones, p, p, En, nuestra, empresa, valoramos, las, competencias, de, nuestros, colaboradores, buscamos, personas, proactivas, colaborativas, y, con, un, amplio, sentido, del, trabajo, en, equipo, Debe, ser, un, profesional, con, habilidades, para, la, de, problemas, y, mejora, continua, donde, las, habilidades, de, son, claves, para, el, desarrollo, de, este, trabajo, p",<ul><li>Planes de Capacitación</li><li>Oportunidad de Crecimiento y Desarrollo</li><li>Convenios y bonos</li><li>Celebración de festividades</li><li>Beneficios para ti y tu familia</li><li>Alimentación</li></ul>,237,Agrosuper,CL,,"En Agrosuper nos motiva hacer las cosas siempre mejor, con espíritu de crecimiento y desarrollo, disfrutando lo bueno de la vida  ¡Ven a ser parte!"
Data Science / Analytics,seniority,1200,1500,ingeniero-jr-etl-kibernum-remote,modality,True,remote_local,,1704747538,,,"p, REQUISITOS, INDISPENSABLES, p, p, Experiencia, de, 2, en, el, mundo, ETL, p, p, en, en, o, similar, p, p, HERRAMIENTAS, A, DOMINAR, p, p, BD, SQL, p, p, ETL, p, p, SSIS, p, p, Data, Warehouse, p, p, Data, Mart, p","<p>OFRECEMOS:</p><p>· Contrato por Proyecto hasta Febrero 2024, con posibilidad de extensión por 1 mes.</p><p>· Modalidad remota (Solo el primer día es presencial).</p><p>· Horario de Lunes a Viernes de 08:30 a 17:30.</p><p>· Ubicación en Santiago Centro.</p>",292,Kibernum,CL,,Impulsamos la evolución digital de nuestro entorno
Data Science / Analytics,seniority,,,analista-de-datos-forma-moovmedia-group-remote,modality,True,fully_remote,,1704464530,,,"p, ingenieros, civiles, o, comerciales, br, 1, a, 2, en, cargo, similares, analytics, p, p, Requisitos, excluyente, br, Conocimientos, intermedios, avanzados, en, R, o, Python, para, de, datos, regresiones, de, etc, br, Manejo, intermedios, avanzados, de, herramientas, de, tales, como, Tableau, Power, BI, o, DataStudio, p, p, Deseable, en, marketing, digital, y, comerciales, en, general, p",<p>Dias administrativos<br>Dia de Cumpleaños<br>Convenio con plataforma Dodo<br>Regalo de antiguedad</p>,3780,Forma - Moovmedia Group,CL,,"Forma es el proveedor de servicios de desarrollo de software, ecommerce, integración tecnológica y transformación digital "
